date,close,velocity,acceleration,reversal_binary,volume,percent_change
1/6/2025,411.04999,0.60999,-30.55001,0,85516500,-2.87099
1/7/2025,394.35999,-16.69,-17.29999,1,75699500,-2.82631
1/8/2025,394.94,0.5800100000000157,17.270010000000013,1,73038800,0.50642
1/10/2025,394.73999,-0.20001,-0.78002,1,62287300,0.85335
1/13/2025,403.31,8.570010000000025,8.770020000000045,1,67580500,5.24517
1/14/2025,396.35999,-6.95001,-15.52002,1,84565000,-4.33943
1/15/2025,428.22,31.860010000000045,38.810020000000065,1,81375500,4.46938
1/16/2025,413.82001,-14.39999,-46.26,1,68335200,-2.2834
1/17/2025,426.5,12.679989999999975,27.079979999999978,1,94991400,1.18624
1/21/2025,424.07001,-2.42999,-15.10998,1,87320900,-1.98086
1/22/2025,415.10999,-8.96002,-6.53003,0,60963300,-0.40786
1/23/2025,412.38,-2.72999,6.230030000000056,0,50690600,-0.88449
1/24/2025,406.57999,-5.80001,-3.07002,0,56427100,-1.89891
1/27/2025,397.14999,-9.43,-3.62999,0,58125500,0.59524
1/28/2025,398.09,0.9400099999999725,10.37000999999998,1,48910700,0.29729
1/29/2025,389.10001,-8.98999,-9.93,1,68033600,-1.54601
1/30/2025,400.28,11.179989999999975,20.169979999999953,1,98092900,-2.55611
1/31/2025,404.60001,4.320010000000025,-6.85998,0,83568200,0.76458
2/3/2025,383.67999,-20.92002,-25.24003,1,93732100,-0.77584
2/4/2025,392.20999,8.53,29.450020000000052,1,57072200,2.50372
2/5/2025,378.17001,-14.03998,-22.56998,1,57223300,-2.41026
2/6/2025,374.32001,-3.85,10.189980000000048,0,77918200,0.34582
2/7/2025,361.62,-12.70001,-8.85001,0,70298300,-2.31503
2/10/2025,350.73001,-10.88999,1.8100200000000086,0,77514900,-1.53841
2/11/2025,328.5,-22.23001,-11.34002,0,118543400,-5.00289
2/12/2025,336.51001,8.010010000000023,30.240020000000015,1,105382700,1.99127
2/13/2025,355.94,19.429989999999975,11.419979999999953,0,89441500,3.17102
2/14/2025,355.84,-0.1,-19.52999,1,68277300,-1.32549
2/18/2025,354.10999,-1.73001,-1.63001,0,51631700,-0.25352
2/19/2025,360.56,6.45001,8.180020000000013,1,67094400,1.85311
2/20/2025,354.39999,-6.16001,-12.61002,1,45965400,-1.96675
2/21/2025,337.79999,-16.6,-10.43999,0,74058600,-4.42508
2/24/2025,330.53,-7.26999,9.330010000000016,0,76052300,-2.25055
2/25/2025,302.79999,-27.73001,-20.46002,0,134228800,-7.40628
2/26/2025,290.79999,-12,15.730009999999993,0,100118300,-4.25077
2/27/2025,281.95001,-8.84998,3.1500200000000405,0,101748200,-3.16321
2/28/2025,292.98001,11.029999999999973,19.879979999999932,1,115697000,4.8229
3/3/2025,284.64999,-8.33002,-19.36002,1,115551400,-5.22408
3/4/2025,272.04001,-12.60998,-4.27996,0,126706600,0.40971
3/5/2025,279.10001,7.060000000000002,19.66998000000001,1,94042900,2.2644
3/6/2025,263.45001,-15.65,-22.71,1,98451600,-3.16474
3/7/2025,262.67001,-0.78,14.869999999999948,0,102369600,1.29184
3/10/2025,222.14999,-40.52002,-39.74002,0,189076900,-12.03374
3/11/2025,230.58,8.43001,48.95003,1,174896400,2.339
3/12/2025,248.09,17.50999999999999,9.079989999999981,0,142215700,0.35191
3/13/2025,240.67999,-7.41001,-24.92001,1,114813500,-3.00246
3/14/2025,249.98,9.300009999999986,16.710019999999986,1,100242300,1.07962
3/17/2025,238.00999,-11.97001,-21.27002,1,111900600,-2.87685
3/18/2025,225.31,-12.69999,-0.72998,0,111477600,-1.24913
3/19/2025,235.86,10.550000000000011,23.249989999999997,1,111993800,1.83498
3/20/2025,236.25999,0.3999899999999741,-10.15001,0,99028300,1.24705
3/21/2025,248.71001,12.450020000000023,12.05003000000005,0,132728700,5.83855
3/24/2025,278.39001,29.680000000000007,17.229979999999983,0,169079900,7.86966
3/25/2025,288.14001,9.75,-19.93,0,150361500,1.60085
3/26/2025,272.06,-16.08001,-25.83001,1,153629800,-3.75009
3/27/2025,273.13,1.0699999999999932,17.15001000000001,1,162572100,0.23855
3/28/2025,263.54999,-9.58001,-10.65001,1,123809400,-4.36534
3/31/2025,259.16,-4.38999,5.190020000000061,0,134008900,3.95091
4/1/2025,268.45999,9.29999,13.689979999999935,1,146486900,1.76649
4/2/2025,282.76001,14.300020000000018,5.000030000000038,0,212787800,11.06049
4/3/2025,267.28,-15.48001,-29.78003,1,136174300,0.75012
4/4/2025,239.42999,-27.85001,-12.37,0,181229400,-6.2456
4/7/2025,233.28999,-6.14,21.710009999999954,0,183453800,4.24971
4/8/2025,221.86,-11.42999,-5.28999,0,171603500,-9.4449
4/9/2025,272.20001,50.34001000000001,61.76999999999998,1,219433400,21.14469
4/10/2025,252.39999,-19.80002,-70.14003,1,181722600,-2.92308
4/11/2025,252.31,-0.08999,19.710030000000017,0,128948100,0.18663
4/14/2025,252.35001,0.040009999999995216,0.12999999999999545,1,100135200,-2.3262
4/15/2025,254.11,1.7599900000000162,1.719980000000021,0,79594300,1.6806
4/16/2025,241.55,-12.56,-14.31999,1,112378700,-2.4474
4/17/2025,241.37,-0.18,12.379999999999995,0,83404800,-0.86253
4/21/2025,227.5,-13.87,-13.69,0,97768000,-1.19864
4/22/2025,237.97,10.469999999999999,24.340000000000003,1,120858500,3.03516
4/23/2025,250.74001,12.770010000000013,2.3000100000000145,0,150381900,-1.61657
4/24/2025,259.51001,8.77,-4.00001,0,94464200,3.59681
4/25/2025,284.95001,25.439999999999998,16.669999999999987,0,167560700,8.88838
4/28/2025,285.88,0.9299899999999752,-24.51001,0,151731800,-1.07274
4/29/2025,292.03,6.149999999999977,5.220010000000002,0,108906600,2.28721
4/30/2025,282.16,-9.87,-16.02,1,128961100,0.80743
5/1/2025,280.51999,-1.64001,8.22999,0,99659000,0.18213
5/2/2025,287.20999,6.689999999999998,8.330010000000016,1,114454700,0.81081
5/5/2025,280.26001,-6.94998,-13.63998,1,94618900,-1.51456
5/6/2025,275.35001,-4.91,2.0399799999999573,0,76715800,0.82019
5/7/2025,276.22,0.8699900000000298,5.779990000000055,1,71592600,-0.23837
5/8/2025,284.82001,8.600009999999997,7.730019999999968,0,97539400,1.85602
5/9/2025,298.26001,13.439999999999998,4.83999,0,132079700,2.77386
